Price_CLP,Price_UF,Price_USD,Comuna,Ubicacion,Dorms,Baths,Built Area,Total Area,Parking,id,Realtor
200000000,5543.0,243902.0,SanBernardo,Libertad,3.0,1.0,,,1.0,19986343,
149908245,4155.0,182815.0,PuenteAlto,LosAvellamos3939,3.0,2.0,84.0,209.0,3.0,19992949,
230000000,6375.0,280488.0,SanBernardo,SanBernardo,3.0,2.0,,,,19987791,
140000000,3880.0,170732.0,SanBernardo,CondominioValleEscondido,4.0,3.0,,,1.0,19987521,
400000000,11087.0,487805.0,SanBernardo,SanBernardo,5.0,1.0,,,1.0,19987285,
80000000,2217.0,97561.0,SanBernardo,SanBernardo,3.0,2.0,,,1.0,19987244,
364397900,10100.0,444388.0,Peñalolén,AltosdelParque4190,3.0,3.0,140.0,272.0,2.0,16264974,Eme Erre Propiedades
150000000,4158.0,182927.0,LaFlorida,AlonsodeErcilla8284,4.0,2.0,,,2.0,19888734,
149908245,4155.0,182815.0,Buin,LosTuliperos1,3.0,3.0,,,1.0,19821065,
104051836,2884.0,126892.0,PuenteAlto,Abtao,3.0,1.0,61.0,108.0,2.0,11066473,Bissac
163726502,4538.0,199666.0,Lampa,LasVeronicasPoniente,4.0,3.0,113.0,217.0,3.0,15853413,Bissac
487066500,13500.0,593984.0,IsladeMaipo,IsladeMaipo,4.0,4.0,210.0,5000.0,2.0,19794534,
523145500,14500.0,637982.0,LasCondes,Brunellesco490,6.0,3.0,210.0,460.0,2.0,15125995,Arévalo Propiedades
90000000,2495.0,109756.0,Quilicura,arturoprat84,3.0,1.0,90.0,100.0,1.0,14184606,Veronica Jara Zuñiga
195006995,5405.0,237813.0,PuenteAlto,AvenidaConchayToro,4.0,2.0,60.0,200.0,4.0,18766384,Marcia Rivera Fonseca
162355500,4500.0,197995.0,IsladeMaipo,calledosxx,3.0,2.0,96.0,300.0,3.0,19757255,
227297700,6300.0,277192.0,Buin,ValleAraucarias,3.0,3.0,98.0,223.0,2.0,19395951,
342028920,9480.0,417108.0,LaFlorida,RojasMagallanes3600,4.0,4.0,129.0,160.0,2.0,19749278,
83000000,2301.0,101220.0,Maipú,PasajePasodeLosPatos,3.0,2.0,56.0,62.0,1.0,19749302,
90000000,2495.0,109756.0,PuenteAlto,TroncalSanFrancisco2244,3.0,2.0,,,1.0,17525980,Evelyn Carrillo Santander
120000000,3326.0,146341.0,LoPrado,LosCopihues,4.0,1.0,152.0,225.0,2.0,19747243,Guzmán & Ortega Asesoría Inmobiliaria SpA
115000000,3187.0,140244.0,PuenteAlto,PasajeBogatell2Sur,3.0,2.0,57.0,120.0,3.0,19746717,
95000000,2633.0,115854.0,Maipú,PasajeFilodendro6,3.0,3.0,76.0,117.0,1.0,15766961,
85000000,2356.0,103659.0,Maipú,Galicia,2.0,1.0,74.0,102.0,1.0,18394606,Gesinprop Gestión Inmobiliaria
138000000,3825.0,168293.0,Maipú,SantaGumercinda,4.0,3.0,90.0,122.0,1.0,18558462,Gesinprop Gestión Inmobiliaria
94959928,2632.0,115805.0,Peñaflor,CalleOtawaconNuevaFlorida,3.0,2.0,109.0,128.0,1.0,19060308,
247141150,6850.0,301392.0,Colina,CondominioAyresdeChicureo,3.0,3.0,120.0,421.0,2.0,9490225,
120000000,3326.0,146341.0,LaGranja,PresidenteManuelBulnes,3.0,2.0,61.0,163.0,2.0,15704946,
145000000,4019.0,176829.0,Renca,AvenidaVicuñaMackenna,3.0,3.0,,170.0,2.0,19665177,Ecm Inmobiliaria
338421020,9380.0,412709.0,Pudahuel,Miradores,3.0,3.0,132.0,450.0,2.0,13253599,Tzanis Propiedades
140000000,3880.0,170732.0,Lampa,Coelemu,4.0,2.0,204.0,905.0,,17335553,Echeverria Propiedades
110000000,3049.0,134146.0,PadreHurtado,CardenalAntonioSamore,2.0,1.0,50.0,150.0,2.0,19610822,
487066500,13500.0,593984.0,LaReina,CarlosOssandon,5.0,3.0,700.0,140.0,,7701940,Armacima
315691250,8750.0,384989.0,LaReina,Loreley,3.0,2.0,165.0,119.0,2.0,7702267,Armacima
135000000,3742.0,164634.0,SanBernardo,SantaFilomena,3.0,2.0,180.0,120.0,1.0,9887472,Armacima
86589600,2400.0,105597.0,Quilicura,CerroCatedral,3.0,1.0,60.0,82.0,1.0,12839789,Armacima
138000000,3825.0,168293.0,Maipú,LasParcelas,3.0,1.0,51.0,128.0,2.0,19593359,alejandra escanilla garrido
63030013,1747.0,76866.0,CerroNavia,TresdeJulio6663,4.0,1.0,62.0,144.0,1.0,19574137,
162355500,4500.0,197995.0,Maipú,IgnacioGarcíaSilva,3.0,2.0,101.0,191.0,2.0,19573365,Corredora De Propiedades Alto Coipue Spa
94000000,2605.0,114634.0,Maipú,Elcielo,3.0,1.0,55.0,100.0,1.0,19569703,Corredora De Propiedades Alto Coipue Spa
742036793,20567.0,904923.0,Colina,LaHacienda//Chicureo//LaLaguna,5.0,3.0,341.0,1099.0,2.0,11439813,Propital
150000000,4158.0,182927.0,Recoleta,Campino3190,4.0,1.0,123.0,123.0,1.0,14203220,
122000000,3381.0,148780.0,Maipú,VolcánNavidad,3.0,2.0,81.0,108.0,1.0,14237618,
158747600,4400.0,193595.0,Peñaflor,Condominioloprado,3.0,3.0,96.0,175.0,1.0,10443357,Ricardo Home Propiedades
649422000,18000.0,791978.0,Providencia,Av.HernandodeAguirre3560,6.0,4.0,242.0,365.0,3.0,15341155,Corretajes Ruiz
220000000,6098.0,268293.0,Buin,GermánSandovalMiranda635,3.0,3.0,96.0,253.0,2.0,19171650,
129884400,3600.0,158396.0,PuenteAlto,SalardelNte.1316,3.0,3.0,90.0,150.0,3.0,13243544,Carolina Martinez Propiedades
130000000,3603.0,158537.0,IsladeMaipo,LaMadrugada,3.0,2.0,120.0,400.0,5.0,19270292,
378468710,10490.0,461547.0,Pudahuel,C.elCoihue,3.0,4.0,180.0,390.0,2.0,9385257,Tzanis Propiedades
287188840,7960.0,350230.0,Maipú,UnoSur,3.0,2.0,184.0,256.0,2.0,19253000,Tzanis Propiedades
155139700,4300.0,189195.0,Maipú,CalleSantaNidia,4.0,3.0,107.0,145.0,,4003310,
148000000,4102.0,180488.0,Pudahuel,Loa,4.0,2.0,114.0,184.0,2.0,6700046,
120000000,3326.0,146341.0,PuenteAlto,AvenidaLasNievesOriente,3.0,3.0,84.0,120.0,1.0,10080601,Codalu Propiedades
85000000,2356.0,103659.0,Peñalolén,Calledos,3.0,2.0,71.0,112.0,1.0,13200507,Codalu Propiedades
125000000,3465.0,152439.0,Quilicura,PresidenteRamónBarrosLuco,3.0,2.0,68.0,89.0,,16230140,Codalu Propiedades
360000000,9978.0,439024.0,LoBarnechea,Joss,3.0,1.0,120.0,378.0,3.0,19142793,Kvs properties
234513500,6500.0,285992.0,PuenteAlto,CaminodelAcueducto,5.0,3.0,107.0,220.0,1.0,18302905,Corvalan & Asociados
292239900,8100.0,356390.0,Macul,RamónCruzMontt,3.0,3.0,100.0,377.0,3.0,17716643,V&o Propiedades
120000000,3326.0,146341.0,QuintaNormal,NuevaImperial,2.0,1.0,96.0,247.0,1.0,11933894,Cgs Corretaje Inmobiliario Spa
52000000,1441.0,63415.0,PuenteAlto,CerroParedones,3.0,1.0,78.0,61.0,,11988681,Cgs Corretaje Inmobiliario Spa
150000000,4158.0,182927.0,Macul,Toledo6788,4.0,2.0,80.0,149.0,1.0,18753140,Hoffmann & Asociados SpA
110000000,3049.0,134146.0,Maipú,ManuelTruccoGaete,3.0,2.0,76.0,120.0,1.0,18625673,Gesinprop Gestión Inmobiliaria
58000000,1608.0,70732.0,Maipú,Zapiga,3.0,1.0,74.0,61.0,,14016488,Sgq Propiedades
85000000,2356.0,103659.0,Maipú,PárrocoAlfonsoAlvarado,3.0,2.0,70.0,60.0,1.0,19056602,Gesinprop Gestión Inmobiliaria
132770720,3680.0,161916.0,Buin,LosCiruelos2,3.0,2.0,65.0,113.0,1.0,19044702,
158206415,4385.0,192935.0,PuenteAlto,RíoPetrohué4843,3.0,2.0,63.0,179.0,,15127115,
132193456,3664.0,161212.0,Maipú,CalleSantaNidia,4.0,3.0,160.0,162.0,2.0,16956248,Gesinprop Gestión Inmobiliaria
180000000,4989.0,219512.0,Santiago,Vichuquén,4.0,2.0,79.0,114.0,,11791851,Corredora Fuentes Propiedades
140000000,3880.0,170732.0,Melipilla,Melipilla,,,,,,19029132,
56000000,1552.0,68293.0,Melipilla,Melipilla,,,,,,19029088,
57000000,1580.0,69512.0,Melipilla,Melipilla,,,,,,19028765,
65000000,1802.0,79268.0,Melipilla,Melipilla,2.0,1.0,,,,19027902,
75000000,2079.0,91463.0,Maipú,Asunción1552,2.0,1.0,45.0,60.0,1.0,9543603,Ferrada & vial Spa
90197500,2500.0,109997.0,ElBosque,Capricornio,2.0,2.0,63.0,185.0,2.0,15260042,Ferrada & vial Spa
216474000,6000.0,263993.0,Santiago,DavilaLarrain,7.0,2.0,111.0,172.0,,16627385,
162355500,4500.0,197995.0,Quilicura,Sevendecasa,3.0,3.0,70.0,128.0,,14514386,
209258200,5800.0,255193.0,Quilicura,Sevendecasaenavenida,3.0,2.0,114.0,153.0,,14514382,
130000000,3603.0,158537.0,Maipú,Argentina,3.0,2.0,100.0,171.0,1.0,18957740,Gesinprop Gestión Inmobiliaria
338421020,9380.0,412709.0,Pudahuel,losrododendrosponiente,4.0,3.0,160.0,400.0,2.0,10370614,Tzanis Propiedades
180000000,4989.0,219512.0,Independencia,CarlosToribioRobinet,5.0,2.0,125.0,250.0,,18929757,Essan
70000000,1940.0,85366.0,SanBernardo,Caminolavara,2.0,1.0,,,1.0,18928570,Essan
106000000,2938.0,129268.0,PadreHurtado,PadreMartinGusinde,3.0,2.0,60.0,157.0,2.0,18927869,Essan
142000000,3936.0,173171.0,ElBosque,CapitánAvalos,4.0,3.0,242.0,349.0,1.0,15859376,
63000000,1746.0,76829.0,PuenteAlto,Sanhugo,2.0,1.0,,,1.0,15460112,Evelyn Carrillo Santander
136000000,3770.0,165854.0,SanBernardo,CondominioBarriónuevodenos,3.0,3.0,92.0,148.0,1.0,9060758,G A M P. Propiedades
145000000,4019.0,176829.0,SanBernardo,Av.Sta.Marta675,2.0,1.0,82.0,317.0,2.0,18708254,Balance
113700000,3151.0,138659.0,LaFlorida,Verdi,4.0,2.0,68.0,100.0,1.0,18561041,Recio Gestión Inmobiliaria Ltda
480000000,13304.0,585366.0,LaFlorida,Altomacul,5.0,6.0,240.0,600.0,2.0,6474890,Inmobiliaria Barrio Nuevo SpA
537577100,14900.0,655582.0,LaFlorida,Cam.delPaisaje6800,5.0,6.0,240.0,600.0,7.0,7946348,Inmobiliaria Barrio Nuevo SpA
120864650,3350.0,147396.0,Maipú,pasajepuertovelero,3.0,2.0,62.0,159.0,1.0,18635523,Rosario
505106000,14000.0,615983.0,Conchalí,Lanín1758,6.0,3.0,275.0,600.0,6.0,14141977,Hernán Arriagada
135000000,3742.0,164634.0,Peñalolén,Yelcho1516,4.0,2.0,138.0,250.0,1.0,15839996,
260490380,7220.0,317671.0,QuintaNormal,TadeoVargas,4.0,3.0,198.0,354.0,1.0,11588945,C & C Consultores Jurídico & Corredores Asociados
432948000,12000.0,527985.0,LaReina,ValenzuelaPuelma,4.0,3.0,250.0,215.0,1.0,18617220,Puntoinmobiliario.cl
129162820,3580.0,157516.0,Maipú,ChañaralSur1656,4.0,3.0,83.0,115.0,1.0,16649121,
75000000,2079.0,91463.0,Maipú,Esquinaavportales,3.0,1.0,,,,13881390,Propital
130000000,3603.0,158537.0,EstaciónCentral,MigueldeCervantes,3.0,1.0,77.0,171.0,2.0,9023136,Sp Rios Propiedades
288632000,8000.0,351990.0,Buin,LuisEugenioRiquelmePino,3.0,3.0,118.0,366.0,2.0,16318207,V&o Propiedades
396869000,11000.0,483987.0,Peñalolén,QuilínNorte,4.0,4.0,168.0,283.0,2.0,16319193,V&o Propiedades
80000000,2217.0,97561.0,LaFlorida,JuanBJusto,2.0,1.0,53.0,60.0,1.0,13438395,Balance
43000000,1192.0,52439.0,Santiago,JuanMartínezdeRozas2454,1.0,1.0,37.0,32.0,,11423079,Rosario
450987500,12500.0,549985.0,LasCondes,Huesca,3.0,3.0,95.0,269.0,2.0,17347548,Bao Propiedades
65000000,1802.0,79268.0,Santiago,AvenidaMapocho&Esperanza,2.0,1.0,70.0,70.0,,18368269,Puquén Propiedades
311722560,8640.0,380149.0,SanBernardo,esmeralda,3.0,1.0,120.0,540.0,3.0,12918712,
822601200,22800.0,1003172.0,Peñalolén,Laspircas,4.0,4.0,437.0,761.0,3.0,18216599,
223689800,6200.0,272792.0,Quilicura,Sevendecasaaislada,3.0,3.0,136.0,189.0,,14514370,
245000000,6791.0,298780.0,SanJoaquín,SanJoaquín,6.0,3.0,140.0,436.0,2.0,11688421,
90000000,2495.0,109756.0,Independencia,Independencia,2.0,1.0,85.0,100.0,,18169111,
177000000,4906.0,215854.0,Pudahuel,RíoTrancura9741,3.0,2.0,83.0,119.0,2.0,18153899,Consejo Hpotecario ltda
91243791,2529.0,111273.0,SanBernardo,Novavida,3.0,2.0,60.0,100.0,3.0,13477952,Patricia Propiedades
974133000,27000.0,1187967.0,LaFlorida,Lientur,4.0,4.0,182.0,1600.0,5.0,3002413,Sp Rios Propiedades
253851844,7036.0,309575.0,Pudahuel,HermosaCasa.ElRodeo,3.0,3.0,108.0,226.0,2.0,13963142,Punto Exacto Corredora de Propiedades Ltda.
50510600,1400.0,61598.0,Colina,JoséDonoso,2.0,1.0,57.0,82.0,1.0,11262833,
158747600,4400.0,193595.0,Lampa,LaMontañaNte.3650,3.0,3.0,84.0,133.0,2.0,8722194,Behouse
119000000,3298.0,145122.0,PuenteAlto,VíctorPazEstenssoro,3.0,2.0,90.0,150.0,1.0,17922586,Carolina Martinez Propiedades
1046291000,29000.0,1275965.0,Providencia,SantaIsabel,5.0,4.0,200.0,825.0,4.0,17869698,Lorena Bavestrello
165638689,4591.0,201998.0,PuenteAlto,Sanmaximo,3.0,2.0,89.0,142.0,3.0,17862616,Bissac
595303500,16500.0,725980.0,LaReina,SantaRita/Simónbolivar,4.0,3.0,165.0,550.0,8.0,17715165,
279973040,7760.0,341431.0,Macul,MarioSilvaOssa3923,4.0,2.0,94.0,340.0,,9558931,
130000000,3603.0,158537.0,PuenteAlto,Av.SanCarlos2051,3.0,3.0,70.0,110.0,2.0,16146539,Puquén Propiedades
95000000,2633.0,115854.0,Talagante,Sanmartín,4.0,3.0,,,1.0,17742639,
180000000,4989.0,219512.0,Peñalolén,MarTirreno,2.0,1.0,63.0,150.0,1.0,17679495,Corredora Fuentes Propiedades
87311180,2420.0,106477.0,SanBernardo,PoemaAlmaMia1.144,3.0,1.0,50.0,87.0,,17594962,
137352753,3807.0,167503.0,LaFlorida,Lupino,3.0,2.0,84.0,104.0,2.0,15303374,Bissac
98500000,2730.0,120122.0,PuenteAlto,NemesioVicuña,,2.0,80.0,160.0,2.0,17514389,Corvalan & Asociados
167767350,4650.0,204594.0,PuenteAlto,Ciudaddelsol,5.0,3.0,134.0,149.0,1.0,15559905,Corvalan & Asociados
309197030,8570.0,377070.0,Pudahuel,CalleMalta,3.0,3.0,110.0,407.0,2.0,14881068,Promoción Inmobiliaria
245337200,6800.0,299192.0,Pudahuel,AvenidaElRodeoPoniente,4.0,3.0,108.0,235.0,3.0,17444730,Promoción Inmobiliaria
142115181,3939.0,173311.0,ElBosque,CapitánAvalos,4.0,3.0,242.0,349.0,1.0,15844066,
120000000,3326.0,146341.0,PuenteAlto,Barrantes1Sur,3.0,2.0,85.0,150.0,2.0,9532009,Carolina Martinez Propiedades
127500000,3534.0,155488.0,QuintaNormal,SalvadorGutiérrez&Jujuy,4.0,1.0,69.0,200.0,2.0,8493024,Paula Vivanco Arenas
140000000,3880.0,170732.0,LaFlorida,ElLingue2181,3.0,2.0,68.0,145.0,3.0,17187955,Silvana Guillen Propiedades
314300000,8711.0,383293.0,LaReina,HospitalMilitar/Registrocivil,4.0,3.0,110.0,128.0,3.0,14748626,
273000000,7567.0,332927.0,Peñalolén,LosJardineros,4.0,2.0,250.0,500.0,4.0,7742050,Helena de Troya
230000000,6375.0,280488.0,PuenteAlto,ElGenovés4569,4.0,2.0,,,2.0,16386216,
75000000,2079.0,91463.0,Quilicura,PampadelTamarugal,2.0,1.0,,70.0,1.0,17012837,Daniela Catalán Jara
330483640,9160.0,403029.0,Maipú,ManuelRodríguez,5.0,2.0,,770.0,8.0,5964993,sandra severino herrera
75044320,2080.0,91517.0,QuintaNormal,SaraGajardo,4.0,1.0,87.0,150.0,1.0,16972506,
224000000,6209.0,273171.0,LaCisterna,Angamos8342,4.0,2.0,118.0,165.0,1.0,9316982,
100000000,2772.0,121951.0,Maipú,Lastresmarías,6.0,2.0,110.0,158.0,,16909322,
559224500,15500.0,681981.0,LasCondes,SanCarlosdeApoquindo,4.0,3.0,160.0,252.0,2.0,16869513,V&o Propiedades
310000000,8592.0,378049.0,Pudahuel,CalleMalta,5.0,4.0,155.0,395.0,2.0,16841404,
432948000,12000.0,527985.0,LaFlorida,LasNalcasNorte8190,4.0,3.0,274.0,1260.0,6.0,16832861,
793738000,22000.0,967973.0,Santiago,Serrano,9.0,4.0,440.0,690.0,2.0,16622728,
159108390,4410.0,194035.0,EstaciónCentral,HernándelSolar169,3.0,2.0,98.0,150.0,2.0,15380779,Rsa Gestión Inmobiliaria
130000000,3603.0,158537.0,Pudahuel,Diag.deLosLagos7085,3.0,2.0,62.0,180.0,1.0,13484847,Mgh Solución Inmobiliaria
310279400,8600.0,378390.0,Colina,Sta.Elena278,3.0,3.0,118.0,350.0,3.0,9196861,Behouse
136739410,3790.0,166755.0,PuenteAlto,LomaRedonda7Poniente,3.0,2.0,68.0,168.0,3.0,13062226,
143955210,3990.0,175555.0,Maipú,VillaVersalles,4.0,2.0,139.0,130.0,2.0,13136190,
125000000,3465.0,152439.0,Maipú,MaresdelSur,5.0,3.0,134.0,89.0,1.0,16537208,
70000000,1940.0,85366.0,SanBernardo,LuisAlbertoHeiremansSur,2.0,1.0,40.0,59.0,1.0,16332792,
125000000,3465.0,152439.0,Maipú,BatalladeMaipú,3.0,3.0,149.0,119.0,1.0,16395601,
160000000,4435.0,195122.0,Maipú,LasVizcachas,5.0,2.0,138.0,200.0,2.0,16386069,
187610800,5200.0,228794.0,Peñaflor,Penaflor,3.0,2.0,126.0,443.0,2.0,16320349,
432948000,12000.0,527985.0,Talagante,CaminoCarampangue,4.0,2.0,367.0,5000.0,2.0,16319597,
120000000,3326.0,146341.0,LaFlorida,LasTorcazas,4.0,1.0,82.0,114.0,1.0,16269543,
85000000,2356.0,103659.0,PuenteAlto,RelojdelSolSur4102,3.0,2.0,56.0,110.0,3.0,9547765,
230544810,6390.0,281152.0,SanBernardo,VolcánPomerape.,3.0,2.0,83.0,750.0,6.0,10957028,Propiedades Abarca
164159450,4550.0,200194.0,Quilicura,ValleLoCampino,3.0,2.0,88.0,128.0,3.0,11981386,Propital
83600000,2317.0,101951.0,SanBernardo,ProfesoraEvaÁvila,4.0,1.0,83.0,76.0,1.0,16085876,Balance
165000000,4573.0,201220.0,PuenteAlto,AvenidaLasVizcachas,3.0,3.0,105.0,130.0,2.0,16000362,Alessandro Matteucci Cajas
400476900,11100.0,488386.0,QuintaNormal,Hoevel4548y4558,7.0,4.0,384.0,732.0,3.0,11700213,
266984600,7400.0,325591.0,Buin,Linderos,4.0,3.0,110.0,256.0,4.0,15963666,
170000000,4712.0,207317.0,Conchalí,Nilahue,6.0,2.0,,,,11608988,Kvs properties
90000000,2495.0,109756.0,ElBosque,Verdi,4.0,2.0,,85.0,,11608956,Kvs properties
544792900,15100.0,664382.0,ElBosque,Gral.Körner330,3.0,1.0,90.0,1640.0,3.0,14144830,Punto Exacto Corredora de Propiedades Ltda.
65500000,1815.0,79878.0,Paine,ParqueNacionalAltosdeLircay,2.0,1.0,54.0,97.0,1.0,11029691,
577264000,16000.0,703980.0,Independencia,Av.FermínVivaceta2446,4.0,2.0,186.0,527.0,3.0,12209528,Cadepar Propiedades SpA
100000000,2772.0,121951.0,PedroAguirreCerda,PasajeOchoNorte,4.0,1.0,154.0,196.0,1.0,15368822,
299000000,8287.0,364634.0,LaFlorida,¡Miraesto!¡Esespectacular!RojasMagallanes,4.0,4.0,177.0,259.0,3.0,4870914,Punto Exacto Corredora de Propiedades Ltda.
210000000,5821.0,256098.0,SanMiguel,RamónBarrosLuco4061,4.0,2.0,112.0,154.0,2.0,15201226,
70000000,1940.0,85366.0,ElBosque,pasajeelhierro920,3.0,1.0,113.0,113.0,,15481583,
290000000,8038.0,353659.0,Macul,Ellíbano,3.0,2.0,,328.0,3.0,15067807,
115000000,3187.0,140244.0,Maipú,1deMayo,4.0,2.0,85.0,110.0,2.0,15328607,
146119950,4050.0,178195.0,SanBernardo,LaEncinaNte.850,4.0,3.0,110.0,180.0,2.0,15235604,Rodrigo Cañas de la Cerda Propiedades
130000000,3603.0,158537.0,SanJoaquín,SanJoaquín,3.0,1.0,88.0,200.0,1.0,12995041,
577264000,16000.0,703980.0,Independencia,Av.FermínVivaceta2446,4.0,2.0,,527.0,3.0,15112161,Cadepar Propiedades SpA
115000000,3187.0,140244.0,SanRamón,PasajeTransversalPoniente,3.0,1.0,110.0,230.0,2.0,8850001,Novavista
155000000,4296.0,189024.0,Ñuñoa,SuarezMujica,3.0,1.0,90.0,120.0,,9551695,Novavista
89836710,2490.0,109557.0,Lampa,BlancaEstelaSur4125,2.0,2.0,56.0,86.0,1.0,14914282,Cdprop
160551550,4450.0,195795.0,Maipú,barriolautarociudadsateliteavelparque2361,2.0,3.0,93.0,145.0,2.0,14882402,
115000000,3187.0,140244.0,Maipú,Aracari389,3.0,1.0,76.0,120.0,2.0,11786572,Silvana Guillen Propiedades
277808300,7700.0,338791.0,LaCisterna,Pintados180,5.0,2.0,150.0,330.0,3.0,14612031,Rodrigo Cañas de la Cerda Propiedades
105000000,2910.0,128049.0,Paine,LasAcacias112,3.0,1.0,60.0,1164.0,,9464865,
325000000,9008.0,396341.0,Buin,Maipú490,4.0,2.0,127.0,450.0,4.0,9379847,
140708100,3900.0,171595.0,SanBernardo,PasajeTurinPoniente,4.0,2.0,85.0,155.0,2.0,13827055,Rodrigo Cañas de la Cerda Propiedades
58500000,1621.0,71341.0,PuenteAlto,lagunillasconestacionsierranevada,2.0,2.0,89.0,100.0,3.0,13751569,Propital
1226686000,34000.0,1495959.0,LasCondes,Laforesta,5.0,5.0,360.0,1150.0,4.0,10080545,Premiumpropiedades
111556268,3092.0,136044.0,SanBernardo,PasajeRemi,3.0,2.0,63.0,107.0,2.0,10730488,Propiedades Abarca
162355500,4500.0,197995.0,Lampa,AvenidaLaMontañaSur4149,3.0,3.0,80.0,156.0,2.0,8677005,Behouse
396869000,11000.0,483987.0,Peñalolén,Avconsistorialconelvalle,4.0,3.0,142.0,277.0,2.0,11443495,Propital
579753451,16069.0,707016.0,Ñuñoa,Hannoverconestrellasolitaria,6.0,2.0,157.0,408.0,6.0,11417583,Propital
160000000,4435.0,195122.0,Recoleta,Av.Valdivieso640,6.0,3.0,,250.0,,10971135,Alessandro Matteucci Cajas
559224500,15500.0,681981.0,Ñuñoa,Valparaíso,4.0,3.0,200.0,648.0,4.0,7050927,Platoni y Bonet Propiedades
75000000,2079.0,91463.0,Melipilla,entretacnaconyungaymelipilla,3.0,1.0,43.0,198.0,2.0,8876766,Paula Vivanco Arenas
143000000,3964.0,174390.0,Recoleta,DoctorSoterodelRío&Huasco,4.0,2.0,160.0,300.0,2.0,7755357,Navacasa Propiedades
205000000,5682.0,250000.0,Santiago,Cuevas/Maule,7.0,3.0,161.0,185.0,,8677192,
240000000,6652.0,292683.0,Santiago,Carmen/Barretos,5.0,3.0,190.0,250.0,1.0,8677225,
250749050,6950.0,305792.0,Buin,CamiloBerriosQuintanilla,3.0,3.0,112.0,240.0,2.0,7970036,Propiedades Abarca
577264000,16000.0,703980.0,Vitacura,Géminisii,3.0,2.0,140.0,310.0,2.0,5893319,
98000000,2716.0,119512.0,CerroNavia,StrikMatte,2.0,1.0,88.0,120.0,1.0,17333075,Thaiz Alizo
130000000,3603.0,158537.0,Cerrillos,Cerrillos,4.0,1.0,,180.0,1.0,10088990,
150000000,4158.0,182927.0,Maipú,LasNaciones180,3.0,2.0,80.0,160.0,2.0,20161463,
129884400,3600.0,158396.0,Buin,Buin,3.0,2.0,70.0,116.0,1.0,16030716,
187610800,5200.0,228794.0,Colina,CondominioLosAbetos,3.0,2.0,100.0,220.0,1.0,16317009,
53000000,1469.0,64634.0,Maipú,LasTinajas,2.0,1.0,64.0,62.0,1.0,20158966,Paula Vivanco Arenas
